"I1002" "I1003" "I1004" "I1005" "I1013" "I1015" "I1018" "I1020" "I1022" "I1024"
"1" 0.0857425627932867 0.827241969578336 1.11237847704371 0.586194666866369 0.171593100039519 0.357954820642241 0.739203434430789 0.693991517001328 0.182438685491099 0.18413214019797
"2" 0.0663378229618035 0.656471981595831 1.01305988066223 0.367606198373522 0.150734918946953 0.279209628985128 0.684521160974844 0.415531471654661 0.168265174096193 0.177982249122946
"3" 0.0538289690508763 0.630603014522417 0.865541620093811 0.338686751749532 0.125001455981003 0.249680712496637 0.597058765662637 0.348670468636728 0.165468808358747 0.198462212437156
"4" 0.040070409711696 0.625488491384427 0.746233931467351 0.287754694869694 0.0964118843602938 0.197301110499278 0.510630045976019 0.30543171608475 0.164779581294259 0.198637019293611
"5" 0.0357968870906913 0.606158957144089 0.60480046658531 0.289931882567393 0.08444086024119 0.181160457749575 0.464238779845682 0.264580692186769 0.0861867366167324 0.188917333084627
"6" 0.028422866744907 0.564111428518688 0.507016178522182 0.217045706796025 0.0842011597085413 0.152138247498619 0.445854511642069 0.254281004508425 0.109845342032255 0.182606262775048
"7" 0.0274961086608243 0.527285109288374 0.388458932023421 0.210904338540118 0.0751571411650696 0.141641565091196 0.395720834219422 0.2254911967414 0.0775620709546804 0.193490746002772
"8" 0.0238870225335387 0.493878899146206 0.328762457555711 0.168605639036096 0.0828555461287714 0.122796365215951 0.421592678979467 0.197019807458842 0.0748306326851186 0.195336734511813
"9" 0.0246336883732188 0.527067097071519 0.279202470030122 0.183931662073869 0.0773432197556062 0.125335342033066 0.41978592677042 0.201382487911927 0.0956032736033303 0.215456989729251
"10" 0.0250932381038623 0.560219937248912 0.272044916124319 0.165503155986051 0.0851312830227048 0.128960327957496 0.440360029086885 0.223350072020139 0.0655306569210253 0.307345625049524
"11" 0.0255738595027308 0.605551265749899 0.260023678916972 0.192738338028747 0.0878272656300531 0.133892684608467 0.436003081076311 0.274881565556474 0.0713346141959004 0.363051491219677
"12" 0.0306295856775918 0.588263426853127 0.269999151733678 0.223972305672356 0.0887102159999076 0.14028391103338 0.452255160564231 0.38689099371184 0.0660054726091096 0.380240856281073
"13" 0.0318109600589067 0.539719467319711 0.288742097947496 0.300413388193179 0.120491908427194 0.157113802890962 0.47507787426744 0.545678209790915 0.0530323010768654 0.47513026621345
